UCR_OFFENSE,HIER_OFF,OFFENSE_NUM,MONTH,COUNT,ORI,CITY_NAME
09A,MURDER,1,1,0,AZ0072900,Tempe
09A,MURDER,1,2,1,AZ0072900,Tempe
09A,MURDER,1,3,1,AZ0072900,Tempe
09A,MURDER,1,4,3,AZ0072900,Tempe
09A,MURDER,1,5,3,AZ0072900,Tempe
09A,MURDER,1,6,3,AZ0072900,Tempe
09A,MURDER,1,7,0,AZ0072900,Tempe
09A,MURDER,1,8,1,AZ0072900,Tempe
09A,MURDER,1,9,2,AZ0072900,Tempe
09A,MURDER,1,10,1,AZ0072900,Tempe
09A,MURDER,1,11,1,AZ0072900,Tempe
09A,MURDER,1,12,0,AZ0072900,Tempe
11A,RAPE,2,1,8,AZ0072900,Tempe
11A,RAPE,2,2,15,AZ0072900,Tempe
11A,RAPE,2,3,18,AZ0072900,Tempe
11A,RAPE,2,4,14,AZ0072900,Tempe
11A,RAPE,2,5,20,AZ0072900,Tempe
11A,RAPE,2,6,10,AZ0072900,Tempe
11A,RAPE,2,7,10,AZ0072900,Tempe
11A,RAPE,2,8,6,AZ0072900,Tempe
11A,RAPE,2,9,10,AZ0072900,Tempe
11A,RAPE,2,10,14,AZ0072900,Tempe
11A,RAPE,2,11,16,AZ0072900,Tempe
11A,RAPE,2,12,9,AZ0072900,Tempe
120,ROBBERY,3,1,27,AZ0072900,Tempe
120,ROBBERY,3,2,21,AZ0072900,Tempe
120,ROBBERY,3,3,28,AZ0072900,Tempe
120,ROBBERY,3,4,21,AZ0072900,Tempe
120,ROBBERY,3,5,18,AZ0072900,Tempe
120,ROBBERY,3,6,13,AZ0072900,Tempe
120,ROBBERY,3,7,18,AZ0072900,Tempe
120,ROBBERY,3,8,18,AZ0072900,Tempe
120,ROBBERY,3,9,16,AZ0072900,Tempe
120,ROBBERY,3,10,29,AZ0072900,Tempe
120,ROBBERY,3,11,18,AZ0072900,Tempe
120,ROBBERY,3,12,22,AZ0072900,Tempe
13A,AGASSLT,4,1,48,AZ0072900,Tempe
13A,AGASSLT,4,2,59,AZ0072900,Tempe
13A,AGASSLT,4,3,53,AZ0072900,Tempe
13A,AGASSLT,4,4,54,AZ0072900,Tempe
13A,AGASSLT,4,5,57,AZ0072900,Tempe
13A,AGASSLT,4,6,97,AZ0072900,Tempe
13A,AGASSLT,4,7,72,AZ0072900,Tempe
13A,AGASSLT,4,8,63,AZ0072900,Tempe
13A,AGASSLT,4,9,66,AZ0072900,Tempe
13A,AGASSLT,4,10,61,AZ0072900,Tempe
13A,AGASSLT,4,11,54,AZ0072900,Tempe
13A,AGASSLT,4,12,40,AZ0072900,Tempe
220,BURGLARY,5,1,104,AZ0072900,Tempe
220,BURGLARY,5,2,95,AZ0072900,Tempe
220,BURGLARY,5,3,64,AZ0072900,Tempe
220,BURGLARY,5,4,68,AZ0072900,Tempe
220,BURGLARY,5,5,83,AZ0072900,Tempe
220,BURGLARY,5,6,86,AZ0072900,Tempe
220,BURGLARY,5,7,83,AZ0072900,Tempe
220,BURGLARY,5,8,78,AZ0072900,Tempe
220,BURGLARY,5,9,76,AZ0072900,Tempe
220,BURGLARY,5,10,89,AZ0072900,Tempe
220,BURGLARY,5,11,71,AZ0072900,Tempe
220,BURGLARY,5,12,85,AZ0072900,Tempe
23,LARCENY,7,1,613,AZ0072900,Tempe
23,LARCENY,7,2,508,AZ0072900,Tempe
23,LARCENY,7,3,484,AZ0072900,Tempe
23,LARCENY,7,4,478,AZ0072900,Tempe
23,LARCENY,7,5,732,AZ0072900,Tempe
23,LARCENY,7,6,463,AZ0072900,Tempe
23,LARCENY,7,7,449,AZ0072900,Tempe
23,LARCENY,7,8,467,AZ0072900,Tempe
23,LARCENY,7,9,693,AZ0072900,Tempe
23,LARCENY,7,10,581,AZ0072900,Tempe
23,LARCENY,7,11,577,AZ0072900,Tempe
23,LARCENY,7,12,583,AZ0072900,Tempe
240,MVTHEFT,6,1,59,AZ0072900,Tempe
240,MVTHEFT,6,2,53,AZ0072900,Tempe
240,MVTHEFT,6,3,56,AZ0072900,Tempe
240,MVTHEFT,6,4,62,AZ0072900,Tempe
240,MVTHEFT,6,5,66,AZ0072900,Tempe
240,MVTHEFT,6,6,58,AZ0072900,Tempe
240,MVTHEFT,6,7,57,AZ0072900,Tempe
240,MVTHEFT,6,8,57,AZ0072900,Tempe
240,MVTHEFT,6,9,71,AZ0072900,Tempe
240,MVTHEFT,6,10,64,AZ0072900,Tempe
240,MVTHEFT,6,11,62,AZ0072900,Tempe
240,MVTHEFT,6,12,71,AZ0072900,Tempe
